"","price","trim","isOneOwner","mileage","year","color","displacement","fuel","region","soundSystem","wheelType"
"43",7000,"500","f",98041,2001,"Black",5,"Gasoline","SoA","unsp","Alloy"
"44",10500,"500","f",70215,2001,"Black",5,"Gasoline","Pac","Premium","Alloy"
"45",10988,"500","f",133331,2002,"other",5,"Gasoline","SoA","unsp","Alloy"
"46",8998,"500","f",103411,2003,"Black",5,"Gasoline","Mid","Premium","Alloy"
"47",8780,"500","f",147045,2004,"Black",5,"Gasoline","SoA","unsp","unsp"
"48",17481,"500","f",67955,2006,"Black",5,"Gasoline","ESC","Bose","Alloy"
"49",19999,"500","f",101000,2006,"Silver",5,"Gasoline","ESC","unsp","unsp"
"50",11495,"500","f",70330,2003,"Black",5,"Gasoline","WNC","unsp","Alloy"
"51",8995,"500","f",66174,2000,"Silver",5,"Gasoline","Mid","Bose","Alloy"
"52",5995,"500","f",141499,2002,"other",5,"Gasoline","ENC","unsp","Alloy"
"53",12888,"500","f",111971,2004,"Black",5,"Gasoline","WSC","unsp","Alloy"
"54",11900,"500","f",99331,2003,"Black",5,"Gasoline","ESC","unsp","unsp"
"55",7800,"500","f",99273,2000,"Silver",5,"Gasoline","ENC","unsp","Alloy"
"56",5995,"500","f",149960,2003,"Black",5,"Gasoline","Mid","Bose","unsp"
"57",9995,"500","f",113020,2001,"Gray",5,"Gasoline","Pac","Bose","Premium"
"58",11991,"500","f",75720,2002,"Black",5,"Gasoline","SoA","unsp","unsp"
"59",7995,"500","f",155229,2002,"Black",5,"Gasoline","SoA","unsp","Alloy"
"60",10500,"500","f",107333,2001,"Black",5,"Gasoline","SoA","unsp","Alloy"
"61",9992,"500","f",119356,2003,"Black",5,"Gasoline","SoA","unsp","unsp"
"62",6995,"500","f",77985,2000,"Black",5,"Gasoline","SoA","Premium","Alloy"
"63",21988,"600","f",7009,2001,"Gray",5.8,"Gasoline","Mid","unsp","Alloy"
"64",6992,"600","f",179567,2002,"Silver",5.8,"Gasoline","SoA","unsp","Alloy"
"65",14977,"430","f",90895,2005,"White",4.3,"Gasoline","SoA","unsp","unsp"
"66",15995,"430","f",69903,2006,"Black",4.3,"Gasoline","New","unsp","unsp"
"67",8914,"430","f",188321,2003,"Silver",4.3,"Gasoline","ENC","unsp","Alloy"
"68",12950,"430","f",107480,2006,"unsp",4.3,"Gasoline","ESC","unsp","Alloy"
"69",11960,"430","f",112732,2004,"White",4.3,"Gasoline","SoA","Bose","Alloy"
"70",12999,"430","f",99820,2005,"Silver",4.3,"Gasoline","SoA","unsp","Alloy"
"71",13991,"430","f",119621,2005,"Silver",4.3,"Gasoline","ENC","unsp","Alloy"
"72",10995,"430","f",160513,2006,"Black",4.3,"Gasoline","Mid","Premium","Alloy"
"73",11995,"430","f",132277,2004,"Black",4.3,"Gasoline","ENC","unsp","unsp"
"74",11950,"430","f",71377,2003,"Blue",4.3,"Gasoline","SoA","Premium","unsp"
"75",16499,"500","f",73246,2006,"Silver",5,"Gasoline","ENC","Premium","Alloy"
"76",12995,"500","f",109108,2003,"Black",5,"Gasoline","Mid","unsp","unsp"
"77",29481,"550","f",56290,2007,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"78",23492,"550","f",85201,2007,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"79",35822,"550","t",16894,2007,"Black",5.5,"Gasoline","WSC","Harman Kardon","Alloy"
"80",49910,"550","f",14968,2009,"Black",5.5,"Gasoline","Pac","unsp","unsp"
"81",28900,"550","f",66400,2007,"Silver",5.5,"Gasoline","WSC","Premium","Alloy"
"82",24990,"550","f",99676,2007,"Gray",5.5,"Gasoline","SoA","Premium","Alloy"
"83",28971,"550","f",79852,2007,"Silver",5.5,"Gasoline","Pac","Harman Kardon","Alloy"
"84",25998,"550","f",103557,2007,"Black",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"85",37991,"550","f",70011,2007,"Silver",5.5,"Gasoline","SoA","Premium","Alloy"
"86",27495,"550","f",109431,2008,"White",5.5,"Gasoline","SoA","Bose","unsp"
"87",24900,"550","f",60000,2007,"White",5.5,"Gasoline","Pac","unsp","unsp"
"88",36990,"550","f",66000,2007,"Black",5.5,"Gasoline","Mid","Premium","unsp"
"89",26977,"550","t",90000,2007,"Black",5.5,"Gasoline","SoA","unsp","Alloy"
"90",38890,"550","f",22537,2008,"White",5.5,"Gasoline","ESC","unsp","Alloy"
"91",20995,"550","f",88984,2007,"Black",5.5,"Gasoline","Pac","unsp","unsp"
"92",28981,"550","f",60985,2007,"Silver",5.5,"Gasoline","Pac","unsp","Alloy"
"93",26500,"550","f",62495,2008,"Black",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"94",28991,"550","f",88301,2008,"Black",5.5,"Gasoline","WSC","Harman Kardon","unsp"
"95",32995,"550","f",72000,2008,"White",5.5,"Gasoline","Pac","Harman Kardon","unsp"
"96",27898,"550","f",91091,2009,"Black",5.5,"Gasoline","Mtn","Harman Kardon","Alloy"
"97",24883,"550","f",69479,2007,"Silver",5.5,"Gasoline","Pac","unsp","unsp"
"98",31999,"550","f",83457,2007,"Black",5.5,"Gasoline","Pac","unsp","unsp"
"99",18998,"550","f",89511,2007,"Silver",5.5,"Gasoline","SoA","unsp","unsp"
"100",33993,"550","f",81476,2009,"Black",5.5,"Gasoline","ESC","unsp","unsp"
"101",23900,"550","f",109400,2007,"Silver",5.5,"Gasoline","SoA","unsp","Alloy"
"102",26900,"550","f",121000,2007,"other",5.5,"Gasoline","WSC","unsp","unsp"
"103",18525,"550","f",124873,2007,"White",5.5,"Gasoline","Mid","Harman Kardon","unsp"
"104",27971,"550","f",86447,2007,"Black",5.5,"Gasoline","Pac","Harman Kardon","Alloy"
"105",26488,"550","f",82289,2008,"Silver",5.5,"Gasoline","Pac","unsp","unsp"
"106",29995,"550","f",87839,2007,"White",5.5,"Gasoline","Pac","unsp","unsp"
"107",21997,"550","f",96841,2007,"Gray",5.5,"Gasoline","SoA","Premium","unsp"
"108",26884,"550","f",38578,2007,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"109",29995,"550","t",74000,2007,"Black",5.5,"Gasoline","Pac","Harman Kardon","unsp"
"110",29994,"550","f",67111,2009,"White",5.5,"Gasoline","WSC","Harman Kardon","Alloy"
"111",39000,"550","t",9239,2009,"Black",5.5,"Gasoline","WSC","unsp","unsp"
"112",38895,"550","f",70300,2009,"Black",5.5,"Gasoline","Pac","Premium","Alloy"
"113",28550,"550","f",113473,2007,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"114",29988,"550","f",63748,2008,"Black",5.5,"Gasoline","WSC","Harman Kardon","unsp"
"115",21885,"550","f",102900,2007,"Gray",5.5,"Gasoline","Pac","unsp","unsp"
"116",34999,"550","f",62400,2007,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"117",30995,"550","f",67065,2008,"Gray",5.5,"Gasoline","SoA","Harman Kardon","Alloy"
"118",40918,"550","f",39891,2009,"Black",5.5,"Gasoline","SoA","Harman Kardon","Alloy"
"119",36995,"550","f",38314,2007,"Black",5.5,"Gasoline","Mtn","Premium","unsp"
"120",19881,"550","t",131621,2007,"Black",5.5,"Gasoline","SoA","Harman Kardon","Alloy"
"121",22999,"550","f",109000,2007,"Silver",5.5,"Gasoline","SoA","Premium","Alloy"
"122",34999,"550","f",55280,2008,"Black",5.5,"Gasoline","SoA","Premium","Alloy"
"123",27495,"550","f",94700,2008,"Blue",5.5,"Gasoline","Pac","Premium","Alloy"
"124",28950,"600","t",120929,2008,"Silver",5.5,"Gasoline","Mid","unsp","Alloy"
"125",49750,"600","f",43394,2009,"Silver",5.5,"Gasoline","ENC","Harman Kardon","Alloy"
"126",34900,"600","f",82794,2008,"Gray",5.5,"Gasoline","Mtn","unsp","unsp"
"127",44695,"63 AMG","t",59597,2008,"Black",6.3,"Gasoline","Mid","Harman Kardon","unsp"
"128",48995,"63 AMG","f",64677,2008,"White",6.3,"Gasoline","Pac","unsp","Alloy"
"129",46999,"550","f",32467,2011,"White",5.5,"Gasoline","SoA","Premium","Alloy"
"130",42625,"550","f",28199,2010,"Silver",5.5,"Gasoline","ESC","Premium","unsp"
"131",52888,"550","f",30351,2011,"White",5.5,"Gasoline","Pac","Harman Kardon","Alloy"
"132",58995,"550","t",20425,2011,"Black",5.5,"Gasoline","SoA","Harman Kardon","Alloy"
"133",43981,"550","f",40063,2010,"White",5.5,"Gasoline","SoA","unsp","unsp"
"134",38000,"550","f",37274,2010,"Silver",5.5,"Gasoline","ESC","Harman Kardon","Alloy"
"135",44999,"550","f",51066,2011,"Black",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"136",45900,"550","t",27942,2010,"White",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"137",39800,"550","f",59037,2010,"Black",5.5,"Gasoline","SoA","Premium","unsp"
"138",56995,"550","f",28752,2011,"White",5.5,"Gasoline","WSC","Harman Kardon","Alloy"
"139",33988,"550","f",49394,2010,"Black",5.5,"Gasoline","SoA","Premium","Alloy"
"140",32907,"550","f",65096,2010,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"141",56971,"550","f",24922,2011,"Silver",5.5,"Gasoline","Pac","Harman Kardon","Alloy"
"142",45000,"550","f",30714,2011,"Black",5.5,"Gasoline","Pac","Harman Kardon","Alloy"
"143",43900,"550","f",56801,2010,"Black",5.5,"Gasoline","Pac","Harman Kardon","Alloy"
"144",45994,"550","t",44726,2010,"Black",5.5,"Gasoline","ESC","unsp","Alloy"
"145",38999,"550","t",32886,2011,"Silver",5.5,"Gasoline","SoA","Premium","Alloy"
"146",46491,"550","f",37296,2010,"Black",5.5,"Gasoline","WSC","Harman Kardon","unsp"
"147",42750,"550","t",41272,2010,"White",5.5,"Gasoline","WSC","Harman Kardon","Alloy"
"148",42499,"550","t",53735,2010,"Silver",5.5,"Gasoline","SoA","Harman Kardon","Alloy"
"149",51995,"550","t",30325,2010,"Black",5.5,"Gasoline","WSC","unsp","unsp"
"150",56877,"550","t",27481,2011,"Silver",5.5,"Gasoline","SoA","unsp","unsp"
"151",47991,"550","f",59478,2011,"Black",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"152",50000,"550","t",31223,2012,"Black",4.6,"Gasoline","WSC","Harman Kardon","Alloy"
"153",67900,"550","t",14186,2013,"Black",4.6,"Gasoline","SoA","Harman Kardon","Alloy"
"154",46995,"550","t",34842,2012,"Black",4.6,"Gasoline","ESC","unsp","unsp"
"155",66899,"550","f",9720,2013,"White",4.6,"Gasoline","SoA","Premium","Alloy"
"156",56888,"550","t",21171,2013,"Silver",4.6,"Gasoline","Pac","Premium","unsp"
"157",52999,"550","f",20464,2013,"Gray",4.6,"Gasoline","SoA","Premium","Alloy"
"158",55995,"550","t",15200,2012,"Silver",4.6,"Gasoline","Pac","Harman Kardon","Alloy"
"159",76895,"550","f",9018,2013,"Black",4.6,"Gasoline","Pac","unsp","unsp"
"160",62900,"550","t",18749,2012,"Silver",4.6,"Gasoline","SoA","Harman Kardon","unsp"
"161",57990,"550","t",15763,2012,"Black",4.6,"Gasoline","SoA","Harman Kardon","Alloy"
"162",75800,"550","t",6983,2013,"Silver",4.6,"Gasoline","SoA","Harman Kardon","Alloy"
"163",52988,"550","f",35939,2012,"White",4.6,"Gasoline","SoA","Harman Kardon","Alloy"
"164",65990,"550","f",15132,2013,"White",4.6,"Gasoline","ESC","Harman Kardon","unsp"
"165",64000,"63 AMG","f",53500,2011,"Black",5.5,"Gasoline","WSC","Premium","Alloy"
"166",59986,"63 AMG","f",28286,2010,"Black",6.3,"Gasoline","SoA","unsp","Alloy"
"167",72900,"63 AMG","f",38512,2010,"White",6.3,"Gasoline","Pac","unsp","unsp"
"168",29833,"550","f",56087,2008,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"169",43998,"550","f",33744,2009,"Gray",5.5,"Gasoline","New","unsp","unsp"
"170",21900,"550","f",107000,2007,"White",5.5,"Gasoline","SoA","Premium","Alloy"
"171",20950,"550","f",96772,2007,"Silver",5.5,"Gasoline","Mid","unsp","unsp"
"172",26995,"550","t",85543,2008,"Blue",5.5,"Gasoline","SoA","unsp","unsp"
"173",23999,"550","f",62720,2007,"Gray",5.5,"Gasoline","ENC","unsp","unsp"
"174",30995,"550","f",65875,2008,"Gray",5.5,"Gasoline","ENC","Harman Kardon","Alloy"
"175",24975,"550","f",78591,2009,"Black",5.5,"Gasoline","Mid","Premium","Alloy"
"176",33900,"550","f",61424,2009,"Black",5.5,"Gasoline","ENC","Premium","Alloy"
"177",28288,"550","f",48248,2007,"Black",5.5,"Gasoline","Mtn","unsp","unsp"
"178",29997,"550","t",65966,2008,"White",5.5,"Gasoline","Mid","Premium","Alloy"
"179",27995,"550","f",92080,2007,"Silver",5.5,"Gasoline","SoA","unsp","Alloy"
"180",25950,"550","f",80040,2007,"other",5.5,"Gasoline","WSC","unsp","unsp"
"181",25985,"550","f",74912,2007,"White",5.5,"Gasoline","ENC","Harman Kardon","Alloy"
"182",28980,"550","f",95293,2007,"White",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"183",32900,"550","f",39790,2008,"Gray",5.5,"Gasoline","Pac","Premium","Alloy"
"184",24432,"550","f",82461,2008,"Black",5.5,"Gasoline","ENC","unsp","Alloy"
"185",24995,"550","f",61103,2009,"other",5.5,"Gasoline","ENC","unsp","unsp"
"186",32500,"550","t",42459,2008,"Silver",5.5,"Gasoline","Mid","unsp","Alloy"
"187",23139,"550","f",95454,2008,"Silver",5.5,"Gasoline","ENC","Harman Kardon","Alloy"
"188",24975,"550","f",101971,2009,"Black",5.5,"Gasoline","Mid","unsp","Alloy"
"189",34995,"550","f",59042,2008,"White",5.5,"Gasoline","Mid","Premium","Alloy"
"190",25980,"550","f",108000,2008,"Black",5.5,"Gasoline","ESC","unsp","Alloy"
"191",29900,"550","f",78798,2008,"Black",5.5,"Gasoline","New","unsp","unsp"
"192",30495,"550","f",56910,2009,"Blue",5.5,"Gasoline","Mid","unsp","unsp"
"193",33995,"550","f",43644,2008,"Black",5.5,"Gasoline","Mid","Harman Kardon","Alloy"
"194",37877,"550","f",64459,2009,"White",5.5,"Gasoline","New","Harman Kardon","unsp"
"195",27789,"550","f",83009,2007,"Black",5.5,"Gasoline","SoA","unsp","unsp"
"196",26850,"550","f",80020,2008,"Gray",5.5,"Gasoline","ESC","Premium","Alloy"
"197",31991,"550","f",78341,2008,"Black",5.5,"Gasoline","ENC","Premium","Alloy"
"198",54995,"350","f",29108,2012,"Black",3,"Diesel","SoA","unsp","unsp"
"199",39555,"350","f",56595,2012,"Silver",3,"Diesel","ENC","Harman Kardon","Alloy"
"200",37995,"350","t",66689,2012,"Black",3,"Diesel","Mid","Harman Kardon","Alloy"
"201",46994,"550","f",36031,2011,"Black",5.5,"Gasoline","SoA","Premium","Premium"
"202",37402,"550","t",78376,2011,"Black",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"203",49900,"550","t",35309,2011,"Black",5.5,"Gasoline","SoA","Harman Kardon","Alloy"
"204",37995,"550","f",58101,2010,"Silver",5.5,"Gasoline","SoA","unsp","unsp"
"205",43295,"550","f",61053,2011,"Silver",5.5,"Gasoline","SoA","unsp","unsp"
"206",47900,"550","f",27128,2010,"Black",5.5,"Gasoline","ESC","unsp","unsp"
"207",49950,"550","t",19488,2011,"Black",5.5,"Gasoline","SoA","Harman Kardon","unsp"
"208",34890,"550","f",57363,2010,"unsp",5.5,"Gasoline","Mid","Harman Kardon","Alloy"
"209",42995,"550","f",53168,2010,"White",5.5,"Gasoline","Mid","unsp","Alloy"
"210",42999,"550","t",39315,2011,"Gray",5.5,"Gasoline","SoA","unsp","Alloy"
"211",37999,"550","t",42571,2011,"Silver",5.5,"Gasoline","SoA","Premium","Alloy"
"212",51659,"550","f",30948,2011,"White",5.5,"Gasoline","ENC","unsp","unsp"
"213",51995,"550","f",38920,2011,"Gray",5.5,"Gasoline","ESC","Premium","unsp"
"214",36000,"550","t",61005,2011,"White",5.5,"Gasoline","Mid","Harman Kardon","unsp"
"215",47995,"550","t",8556,2011,"Silver",5.5,"Gasoline","WSC","Harman Kardon","Alloy"
"216",36990,"550","f",65174,2010,"Black",5.5,"Gasoline","Mtn","unsp","Alloy"
"217",35490,"550","f",47413,2010,"Silver",5.5,"Gasoline","Pac","unsp","unsp"
"218",40935,"550","f",49725,2011,"Silver",5.5,"Gasoline","SoA","unsp","Alloy"
"219",29995,"550","f",75134,2010,"White",5.5,"Gasoline","WSC","unsp","Alloy"
"220",53800,"550","f",29150,2011,"Silver",5.5,"Gasoline","ESC","unsp","Alloy"
"221",42995,"550","t",30490,2011,"White",5.5,"Gasoline","Mid","unsp","Alloy"
"222",48995,"550","f",29129,2011,"Gray",5.5,"Gasoline","Mid","unsp","Alloy"
"223",72990,"550","f",21845,2012,"Black",4.6,"Gasoline","WNC","Premium","Alloy"
"224",50995,"550","t",29301,2013,"Gray",4.6,"Gasoline","Mid","Harman Kardon","Alloy"
"225",41999,"550","t",49079,2012,"Black",4.6,"Gasoline","SoA","Premium","Alloy"
"226",57900,"550","f",35667,2012,"Black",4.6,"Gasoline","ENC","Premium","Alloy"
"227",63908,"550","t",31921,2012,"unsp",4.6,"Gasoline","WNC","Premium","Alloy"
"228",63574,"550","t",21804,2012,"Silver",4.6,"Gasoline","SoA","unsp","unsp"
"229",58999,"550","f",28486,2012,"Black",4.6,"Gasoline","WSC","Premium","Alloy"
"230",48850,"550","f",38564,2012,"Black",4.6,"Gasoline","WSC","Harman Kardon","Alloy"
"231",48995,"550","f",26137,2012,"Silver",4.6,"Gasoline","Mid","Premium","Alloy"
"232",67995,"550","t",28966,2012,"White",4.6,"Gasoline","New","unsp","Alloy"
"233",49900,"550","f",48460,2012,"Black",4.6,"Gasoline","SoA","Bang Olufsen","Alloy"
"234",69998,"550","t",18018,2012,"Silver",4.6,"Gasoline","New","Harman Kardon","Alloy"
"235",56900,"550","f",27464,2012,"Silver",4.6,"Gasoline","ENC","Premium","Alloy"
"236",46995,"550","f",47916,2013,"Blue",4.6,"Gasoline","Mid","unsp","Alloy"
"237",49999,"550","t",27366,2012,"Black",4.6,"Gasoline","SoA","Premium","Alloy"
"238",63995,"550","f",20397,2012,"Black",4.6,"Gasoline","Mid","unsp","Alloy"
"239",50999,"550","f",21873,2013,"Blue",4.6,"Gasoline","SoA","Harman Kardon","Alloy"
"240",52995,"550","t",21790,2013,"Gray",4.6,"Gasoline","WSC","Harman Kardon","Alloy"
"241",49999,"550","f",24785,2013,"White",4.6,"Gasoline","SoA","Premium","Alloy"
"242",64800,"550","f",12488,2013,"White",4.6,"Gasoline","ESC","Harman Kardon","unsp"
"243",33985,"400","f",62010,2010,"unsp",3.5,"Hybrid","ENC","Harman Kardon","Alloy"
"244",59990,"400","f",17765,2013,"Black",3.5,"Hybrid","SoA","Harman Kardon","Alloy"
"245",40995,"400","f",40428,2010,"Black",3.5,"Hybrid","SoA","Harman Kardon","Alloy"
"246",6998,"320","f",82230,1999,"Gray",3.2,"Gasoline","Pac","Bose","Alloy"
"247",4995,"320","f",134000,1997,"Black",3.2,"Gasoline","WSC","unsp","Alloy"
"248",9995,"420","f",176047,1996,"Silver",4.2,"Gasoline","ESC","unsp","unsp"
"249",4495,"420","f",194448,1998,"Silver",4.2,"Gasoline","Pac","unsp","unsp"
"250",7995,"420","f",120701,1998,"Gray",4.2,"Gasoline","Pac","Premium","unsp"
"251",3995,"420","f",89000,1998,"Silver",4.2,"Gasoline","WNC","Bose","Alloy"
"252",4996,"500","f",199958,1995,"Gray",5,"Gasoline","SoA","Premium","Alloy"
"253",3995,"500","f",181000,1995,"White",5,"Gasoline","SoA","unsp","Alloy"
"254",2999,"500","f",207399,1997,"Black",5,"Gasoline","Mid","unsp","Alloy"
"255",7500,"430","f",205862,2000,"other",4.3,"Gasoline","Pac","unsp","Alloy"
"256",10950,"430","f",109121,2002,"other",4.3,"Gasoline","WSC","Premium","Alloy"
"257",10000,"430","f",96584,2002,"White",4.3,"Gasoline","WSC","Premium","unsp"
"258",10900,"430","f",144952,2006,"Silver",4.3,"Gasoline","ESC","Bose","unsp"
"259",6999,"430","f",161189,2001,"Silver",4.3,"Gasoline","SoA","unsp","unsp"
"260",8495,"430","f",113183,2003,"Silver",4.3,"Gasoline","WSC","Premium","Alloy"
"261",12999,"430","f",101754,2006,"Gray",4.3,"Gasoline","Pac","unsp","unsp"
"262",8288,"430","f",129131,2000,"White",4.3,"Gasoline","Pac","unsp","Alloy"
"263",9500,"430","f",73302,2001,"Silver",4.3,"Gasoline","SoA","Premium","unsp"
"264",6995,"430","t",136329,2002,"Silver",4.3,"Gasoline","WSC","unsp","Alloy"
"265",6988,"430","f",167000,2002,"Black",4.3,"Gasoline","Mtn","unsp","Alloy"
"266",8795,"430","f",96130,2002,"Blue",4.3,"Gasoline","Mid","unsp","unsp"
"267",17995,"430","f",84266,2006,"Gray",4.3,"Gasoline","Mtn","Premium","Alloy"
"268",15000,"430","f",77675,2006,"White",4.3,"Gasoline","WSC","Premium","Alloy"
"269",10999,"430","f",116289,2005,"Silver",4.3,"Gasoline","SoA","Premium","Alloy"
"270",8989,"430","f",189691,2006,"Silver",4.3,"Gasoline","SoA","Premium","Alloy"
"271",8850,"430","t",95711,2002,"Silver",4.3,"Gasoline","WSC","Bose","Alloy"
"272",9998,"430","f",97274,2002,"Black",4.3,"Gasoline","Pac","unsp","unsp"
"273",8650,"430","f",112835,2000,"Black",4.3,"Gasoline","SoA","Bose","Alloy"
"274",10900,"430","f",64257,2001,"White",4.3,"Gasoline","SoA","unsp","Alloy"
"275",8995,"430","f",144500,2002,"Silver",4.3,"Gasoline","Mtn","unsp","Alloy"
"276",9995,"430","f",55975,2000,"White",4.3,"Gasoline","Mid","Premium","Alloy"
"277",4999,"430","f",174380,2000,"Silver",4.3,"Gasoline","SoA","unsp","unsp"
"278",9994,"430","f",102066,2004,"other",4.3,"Gasoline","Pac","Premium","Alloy"
"279",17968,"430","f",54928,2006,"Gray",4.3,"Gasoline","SoA","Bose","Alloy"
"280",13975,"55 AMG","f",81836,2004,"Silver",5.4,"Gasoline","Pac","unsp","Alloy"
"281",13717,"55 AMG","f",99240,2005,"Silver",5.4,"Gasoline","Mid","unsp","unsp"
"282",23990,"55 AMG","f",61797,2005,"Black",5.4,"Gasoline","Mtn","unsp","Alloy"
"283",10995,"55 AMG","f",121675,2006,"Silver",5.4,"Gasoline","ENC","unsp","unsp"
"284",4999,"500","f",117556,2001,"Black",5,"Gasoline","SoA","unsp","Alloy"
"285",16499,"500","f",76149,2006,"other",5,"Gasoline","SoA","unsp","unsp"
"286",5000,"500","f",151402,2000,"Black",5,"Gasoline","ESC","unsp","unsp"
"287",8495,"500","f",109160,2000,"other",5,"Gasoline","SoA","unsp","unsp"
"288",7500,"500","f",101165,2002,"Silver",5,"Gasoline","Mid","unsp","Alloy"
"289",7997,"500","f",140452,2002,"Black",5,"Gasoline","SoA","unsp","Alloy"
"290",11995,"500","f",131543,2003,"Silver",5,"Gasoline","SoA","unsp","Alloy"
"291",10950,"500","f",141141,2006,"Silver",5,"Gasoline","Pac","unsp","Alloy"
"292",9500,"500","f",82982,2001,"White",5,"Gasoline","ESC","Bose","Alloy"
"293",8858,"500","f",101656,2002,"Black",5,"Gasoline","Pac","unsp","unsp"
"294",11900,"500","f",89814,2003,"Black",5,"Gasoline","SoA","unsp","Alloy"
"295",8894,"500","f",71102,2000,"Silver",5,"Gasoline","SoA","unsp","unsp"
"296",9000,"500","f",154000,2006,"Silver",5,"Gasoline","SoA","unsp","Alloy"
"297",21995,"500","f",60821,2006,"White",5,"Gasoline","SoA","unsp","unsp"
"298",10900,"500","t",94249,2001,"Silver",5,"Gasoline","SoA","Premium","Alloy"
"299",7995,"500","f",137917,2004,"Blue",5,"Gasoline","WSC","Premium","unsp"
